neotoma_names,level_1,level_2,level_3,level_4,level_5,level_6,level_7
Brassicaceae-type,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Brassicaceae,NA
cf. Sedum,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,Sedum,NA
Sedum/Rhodiola cf. R. rosea,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,Sedum,NA
Xanthium-type,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Xanthium,NA
Antennaria-type,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Antennaria,NA
Bellidiastrum-type,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Bellidiastrum,NA
Chrysanthemum-type,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Chrysanthemum,NA
Eupatorium-type,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Eupatorium,NA
Liliaceae-type undiff.,Plantae,Tracheophyta,Liliopsida,Liliales,Liliaceae,Liliaceae,NA
Polemonium-type,Plantae,Tracheophyta,Magnoliopsida,Ericales,Polemoniaceae,Polemonium,NA
Myricaria-type,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Tamaricaceae,Myricaria,NA
Chelidonium-type,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Papaveraceae,Chelidonium,NA
Scleranthus-type,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Scleranthus,NA
Cichorioideae-type,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Asteraceae,NA
Cardueae,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Asteraceae,NA
Avena/Triticum,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Avena/Triticum,NA
Chaerophyllum-type,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Chaerophyllum,NA
Gentiana-type,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Gentianaceae,Gentiana,NA
Clematis-type,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Clematis,NA
Meum-type,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Meum,NA
Pleurospermum-type,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Pleurospermum,NA
Falcaria-type,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Falcaria,NA
Galanthus-type,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Galanthus,NA
Matthiola-type,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Matthiola,NA
Brassica-type,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Brassica,NA
Onosma-type,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Onosma,NA
Sanguisorba-type,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Sanguisorba,NA
Scrophularia/Verbascum,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,Scrophularia,NA
Symphytum-type,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Symphytum,NA
Thymus/Mentha,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Thymus/Mentha,NA
Aster/Achillea-type,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Aster/Achillea,NA
cf. Digitalis,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Digitalis,NA
cf. Geum,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Geum,NA
"Betula/Alnus/Corylus/Myrica (type 114, HdV)",Plantae,Tracheophyta,Magnoliopsida,Fagales,Betulaceae/Myricaceae,Betulaceae/Myricaceae,NA
cf. Hordeum,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Hordeum,NA
cf. Juncus,Plantae,Tracheophyta,Liliopsida,Poales,Juncaceae,Juncus,NA
Ammi-type,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Ammi,NA
Gladiolus-type,Plantae,Tracheophyta,Liliopsida,Asparagales,Iridaceae,Gladiolus,NA
Smyrnium-type,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Smyrnium,NA
Centaurium-type,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Gentianaceae,Centaurium,NA
Limonium-type,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Plumbaginaceae,Limonium,NA
Cynoglossum-type,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Cynoglossum,NA
Jurinea-type,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Jurinea,NA
Lilium-type,Plantae,Tracheophyta,Liliopsida,Liliales,Liliaceae,Lilium,NA
Daphne-type,Plantae,Tracheophyta,Magnoliopsida,Malvales,Thymelaeaceae,Daphne,NA
Humulus/Urtica,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Humulus,NA
Myrtus-type,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Myrtus,NA
Hordeum/Triticum-type,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Hordeum,NA
Thymus/Mentha-type,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Thymus/Mentha,NA
cf. Armeria,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Plumbaginaceae,Armeria,NA
cf. Centaurea nigra-type,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Centaurea,Centaurea nigra
cf. Platanus,Plantae,Tracheophyta,Magnoliopsida,Proteales,Platanaceae,Platanus,NA
cf. Sedum-type,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,Sedum,NA
Gentianella-type,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Gentianaceae,Gentianella,NA
Anthemis-type (small),Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Anthemis,NA
Filago-type,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Filago,NA
Halimium/Tuberaria,Plantae,Tracheophyta,Magnoliopsida,Malvales,Cistaceae,Halimium,NA
Lavandula-type,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Lavandula,NA
Reseda/Sesamoides,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Resedaceae,Reseda,NA
Rhinanthus/Veronica,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Orobanchaceae,Rhinanthus,NA
Halimium-type,Plantae,Tracheophyta,Magnoliopsida,Malvales,Cistaceae,Halimium,NA
cf. Convolvulus,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Convolvulus,NA
Humulus/Cannabis sativa,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Humulus,NA
Knautia-type,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Knautia,NA
Muscari-type,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Muscari,NA
Paris-type,Plantae,Tracheophyta,Liliopsida,Liliales,Melanthiaceae,Paris,NA
cf. Trollius europaeus,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Trollius,Trollius europaeus
Hyacinthoides-type,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Hyacinthoides,NA
Gagea-type,Plantae,Tracheophyta,Liliopsida,Liliales,Liliaceae,Gagea,NA
Maianthemum-type,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Maianthemum,NA
Urtica/Parietaria,Plantae,Tracheophyta,Magnoliopsida,Rosales,Urticaceae,Urtica/Parietaria,NA
Vicia-type sensu stricto,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Vicia,NA
cf. Rhinanthus,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Orobanchaceae,Rhinanthus,NA
Anchusa-type,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Anchusa,NA
cf. Sambucus nigra,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Viburnaceae,Sambucus,Sambucus nigra
cf. Sambucus racemosa,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Viburnaceae,Sambucus,Sambucus racemosa
Sambucus-type,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Viburnaceae,Sambucus,NA
cf. Cirsium,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cirsium,NA
cf. Lotus,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Lotus,NA
cf. Papaver,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Papaveraceae,Papaver,NA
cf. Stellaria,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Stellaria,NA
Pinus-type,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Pinus,NA
Glaucium-type,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Papaveraceae,Glaucium,NA
Valeriana-type,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Valeriana,NA
cf. Fabaceae,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Fabaceae,NA
cf. Hippophae rhamnoides,Plantae,Tracheophyta,Magnoliopsida,Rosales,Elaeagnaceae,Hippophae,Hippophae rhamnoides
cf. Saxifraga oppositifolia-type,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Saxifraga,Saxifraga oppositifolia
Trollius-type,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Trollius,NA
cf. Frangula,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rhamnaceae,Frangula,NA
Armeria/Limonium,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Plumbaginaceae,Armeria,NA
Sarcopoterium-type,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Sarcopoterium,NA
Blackstonia-type,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Gentianaceae,Blackstonia,NA
cf. Carya,Plantae,Tracheophyta,Magnoliopsida,Fagales,Juglandaceae,Carya,NA
cf. Phillyrea,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Phillyrea,NA
cf. Plantago,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Plantago,NA
cf. Pterocarya fraxinifolia,Plantae,Tracheophyta,Magnoliopsida,Fagales,Juglandaceae,Pterocarya,Pterocarya fraxinifolia
cf. Ranunculaceae,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculaceae,NA
Dipsacus/Cephalaria,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Dipsacus,NA
Ligustrum-type,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Ligustrum,NA
Ostrya/Carpinus betulus-type,Plantae,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,Ostrya,NA
Salvia-type,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Salvia,NA
Urticaceae/Moraceae,Plantae,Tracheophyta,Magnoliopsida,Rosales,Urticaceae,Urticaceae,NA
Cistus-type,Plantae,Tracheophyta,Magnoliopsida,Malvales,Cistaceae,Cistus,NA
Melampyrum-type,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Orobanchaceae,Melampyrum,NA
Valerianella-type,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Valerianella,NA
Reseda-type,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Resedaceae,Reseda,NA
Sanicula-type,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Sanicula,NA
cf. Galeopsis,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Galeopsis,NA
cf. Oxytropis,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Oxytropis,NA
Festuca-type,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Festuca,NA
cf. Rhamnus,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rhamnaceae,Rhamnus,NA
Helianthus-type,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Helianthus,NA
Solidago-type/Saussurea-type,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Solidago,NA
cf. Maianthemum,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Maianthemum,NA
cf. Limosella aquatica,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,Limosella,Limosella aquatica
cf. Helianthemum,Plantae,Tracheophyta,Magnoliopsida,Malvales,Cistaceae,Helianthemum,NA
Carum-type,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Carum,NA
Draba-type,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Draba,NA
Foeniculum-type,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Foeniculum,NA
cf. Androsace,Plantae,Tracheophyta,Magnoliopsida,Ericales,Primulaceae,Androsace,NA
Senecio/Aster,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Senecio,NA
Crepis-type,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Crepis,NA
Lactuca-type,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Lactuca,NA
Myosotis-type,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Myosotis,NA
Primula-type,Plantae,Tracheophyta,Magnoliopsida,Ericales,Primulaceae,Primula,NA
Agrostemma-type,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Agrostemma,NA
Ericoideae,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Ericaceae,NA
Odontites/Euphrasia,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Orobanchaceae,Odontites,NA
cf. Pterocarya,Plantae,Tracheophyta,Magnoliopsida,Fagales,Juglandaceae,Pterocarya,NA
cf. Gentianaceae,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Gentianaceae,Gentianaceae,NA
Mercurialis-type,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Mercurialis,NA
Plantago-type,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Plantago,NA
Corylus/Myrica undiff.,Plantae,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,Corylus,NA
Cerinthe-type,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Cerinthe,NA
Dipsacus-type,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Dipsacus,NA
Geum/Potentilla,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Geum,NA
Juncus/Luzula,Plantae,Tracheophyta,Liliopsida,Poales,Juncaceae,Juncus,NA
Parietaria-type,Plantae,Tracheophyta,Magnoliopsida,Rosales,Urticaceae,Parietaria,NA
Phillyrea-type,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Phillyrea,NA
Asparagus-type,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Asparagus,NA
Daphne/Thymelaea,Plantae,Tracheophyta,Magnoliopsida,Malvales,Thymelaeaceae,Daphne/Thymelaea,NA
Scabiosa-type,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Scabiosa,NA
cf. Juniperus,Plantae,Tracheophyta,Pinopsida,Pinales,Cupressaceae,Juniperus,NA
Olea/Phillyrea,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Olea/Phillyrea,NA
Andromeda-type,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Andromeda,NA
Betula/Corylus,Plantae,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,Betula/Corylus,NA
Erodium-type,Plantae,Tracheophyta,Magnoliopsida,Geraniales,Geraniaceae,Erodium,NA
Melilotus-type,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Melilotus,NA
Ulex/Cytisus sect. Spartopsis-type,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Ulex,NA
Aquilegia-type,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Aquilegia,NA
Echinophora-type,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Echinophora,NA
Circaea-type,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Circaea,NA
Lychnis-type,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Silene,NA
Polygala-type,Plantae,Tracheophyta,Magnoliopsida,Fabales,Polygalaceae,Polygala,NA
cf. Cuscuta,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Cuscuta,NA
Morus-type,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Morus,NA
cf. Glyceria,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Glyceria,NA
Pyrola-type,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Pyrola,NA
Cucumis-type,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Cucumis,NA
Cuscuta-type,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Cuscuta,NA
Cornaceae-type,Plantae,Tracheophyta,Magnoliopsida,Cornales,Cornaceae,Cornaceae,NA
Echinops-type,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Echinops,NA
Olea-type,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Olea,NA
Ostrya/Corylus-type,Plantae,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,Ostrya,NA
Polygonum-type,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Polygonum,NA
Salix-type,Plantae,Tracheophyta,Magnoliopsida,Malphigiales,Salicaceae,Salix,NA
Carya-type,Plantae,Tracheophyta,Magnoliopsida,Fagales,Juglandaceae,Carya,NA
Haplophyllum-type,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Rutaceae,Haplophyllum,NA
Genista/Cytisus,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Genista/Cytisus,NA
Medicago-type,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Medicago,NA
Cytisus/Genista-type,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Cytisus,NA
Orlaya-type,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Orlaya,NA
Acanthus-type,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Acanthus,NA
Asphodelus/Asphodeline,Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Asphodelus,NA
Atropa-type,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Atropa,NA
Berberis-type,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Berberidaceae,Berberis,NA
Crocus-type,Plantae,Tracheophyta,Liliopsida,Asparagales,Iridaceae,Crocus,NA
Euphorbia-type,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbia,NA
Hypecoum-type,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Papaveraceae,Hypecoum,NA
Lavatera-type,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Malva,NA
Ribes-type,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Grossulariaceae,Ribes,NA
Salsola-type,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Salsola,NA
Astragalus/Oxytropis,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Astragalus,NA
cf. Avena sativa,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Avena,Avena sativa
cf. Peucedanum-type,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Peucedanum,Peucedanum
cf. Sambucus,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Viburnaceae,Sambucus,NA
cf. Lamiaceae,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Lamiaceae,NA
Juglans-type,Plantae,Tracheophyta,Magnoliopsida,Fagales,Juglandaceae,Juglans,NA
Aesculus-type,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Aesculus,NA
Pastinaca-type,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Pastinaca,NA
Carlina-type,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Carlina,NA
cf. Pterocarya/Juglans,Plantae,Tracheophyta,Magnoliopsida,Fagales,Juglandaceae,Pterocarya,NA
Solenanthus-type,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Solenanthus,NA
cf. Cornus,Plantae,Tracheophyta,Magnoliopsida,Cornales,Cornaceae,Cornus,NA
cf. Gentiana,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Gentianaceae,Gentiana,NA
cf. Mentha,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Mentha,NA
cf. Oxyria,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polyganaceae,Oxyria,NA
cf. Rhus,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Anacardiaceae,Rhus,NA
Rhamnus/Paliurus,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rhamnaceae,Rhamnus,NA
Solanum-type,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,NA
Tragopogon-type,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Tragopogon,NA
Anthriscus-type,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Anthriscus,NA
Amygdaloideae,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosaceae,NA
Cirsium/Gundelia,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cirsium,NA
Noaea-type,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Noaea,NA
Cassiope-type,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Cassiope,NA
cf. Juglans,Plantae,Tracheophyta,Magnoliopsida,Fagales,Juglandaceae,Juglans,NA
cf. Lysimachia,Plantae,Tracheophyta,Magnoliopsida,Ericales,Primulaceae,Lysimachia,NA
cf. Ostrya/Carpinus,Plantae,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,Ostrya,NA
Rhododendron subsect. Ledum-type,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Rhododendron,NA
Thalictrum/Coptis,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Thalictrum,NA
Ilex/Nemopanthus undiff.,Plantae,Tracheophyta,Magnoliopsida,Aquifoliales,Aquifoliaceae,Ilex,NA
Mertensia-type,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Mertensia,NA
Ceanothus-type,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rhamnaceae,Ceanothus,NA
Pseudotsuga-type,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Pseudotsuga,NA
Coptis-type,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Coptis,NA
Rubus-type undiff.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,NA
Eriogonum-type,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Eriogonum,NA
Garrya-type,Plantae,Tracheophyta,Magnoliopsida,Garryales,Garryaceae,Garrya,NA
Hydrophyllaceae-type,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Hydrophyllaceae,Hydrophyllaceae,NA
Thuja-type,Plantae,Tracheophyta,Pinopsida,Pinales,Cupressaceae,Thuja,NA
Purshia-type,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Purshia,NA
Chenopodium-type,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Chenopodium,NA
Celtis/Maclura,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,NA
cf. Saxifragaceae,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Saxifragaceae,NA
Ambrosia/Iva,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Ambrosia,Ambrosia
Picea/Pinus undiff.,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Picea,NA
Cupressaceae/Taxaceae undiff.,Plantae,Tracheophyta,Pinopsida,Pinales,Cupressaceae,Cupressaceae,NA
cf. Celtis,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,NA
cf. Euphorbiaceae,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbiaceae,NA
cf. Phlox,Plantae,Tracheophyta,Magnoliopsida,Ericales,Polemoniaceae,Phlox,NA
cf. Silene,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Silene,NA
Cupressaceae/Taxaceae,Plantae,Tracheophyta,Pinopsida,Pinales,Cupressaceae,Cupressaceae,NA
Ambrosia/Iva annua,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Ambrosia,Ambrosia
Angiospermae undiff. (hardwood trees),Plantae,Tracheophyta,undiff,undiff,undiff,undiff,NA
Rhamnaceae/Vitaceae,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rhamnaceae,Rhamnaceae,NA
Myrica/Comptonia peregrina,Plantae,Tracheophyta,Magnoliopsida,Fagales,Myricaceae,Myrica,NA
cf. Diapensia lapponica,Plantae,Tracheophyta,Magnoliopsida,Ericales,Diapensiaceae,Diapensia,Diapensia lapponica
Chrysolepis/Lithocarpus,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Chrysolepsis,NA
Juniperus/Calocedrus,Plantae,Tracheophyta,Pinopsida,Pinales,Cupressaceae,Juniperus,NA
cf. Aquilegia,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Aquilegia,NA
cf. Castanopsis,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Castanopsis,NA
cf. Collinsia,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Gigartinaceae,Collinsia,NA
cf. Linanthus,Plantae,Tracheophyta,Magnoliopsida,Ericales,Polemoniaceae,Linanthus,NA
cf. Lupinus,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Lupinus,NA
cf. Vitis,Plantae,Tracheophyta,Magnoliopsida,Vitales,Vitaceae,Vitis,NA
Ilex-type,Plantae,Tracheophyta,Magnoliopsida,Aquifoliales,Aquifoliaceae,Ilex,NA
cf. Cupressaceae,Plantae,Tracheophyta,Pinopsida,Pinales,Cupressaceae,Cupressaceae,NA
cf. Morus,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Morus,NA
Cercocarpus/Purshia,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Cercocarpus,NA
Angiospermae undiff. (upland herbs),Plantae,Tracheophyta,undiff,undiff,undiff,undiff,NA
cf. Bistorta bistortoides,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Bistorta,Bistorta bistortoides
cf. Ceanothus,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rhamnaceae,Ceanothus,NA
Holodiscus-type,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Holodiscus,NA
Fragaria-type,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Fragaria,NA
