n,data
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
1001,rarefied_new
